!,"""",',(),",",-,.,/,:,;,<,>,?,[],a,all,an,and,as,at,but,by,for,from,he,her,him,his,however,i,if,in,it,more,no,not,of,on,one,or,out,she,that,the,their,there,they,this,to,we,when,which,who,with,you,{},cc,cd,dt,ex,fw,in,jj,jjr,jjs,ls,md,nn,nnp,nnps,nns,pdt,pos,prp,prp$,rb,rbr,rbs,rp,sym,to,uh,vb,vbd,vbg,vbn,vbp,vbz,wdt,wp,wp$,wrb,"for example","for instance",such as,Total Words,Avg Word Length,Avg Sent Length,Text
0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,2,3,0,0,0,5,0,1,0,3,0,1,0,0,4,1,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,3,0,0,4,11,10,0,0,24,17,1,0,0,2,24,1,0,11,0,2,6,0,9,0,0,0,0,2,0,1,6,4,3,0,0,0,0,0,0,0,0,0,130,5.815384615384615,21.666666666666668,"Also in 1953, Lacan conducted his first annual seminar addressing Freud's Papers on Technique (1953–1954). Lacan continued giving these right up until shortly before his death, with le Séminaire running continuously for twenty-seven years. As was the case with Kojève, Lacan exerted his influence primarily through his oral teachings. The first decade of le Séminaire (1953–1963) was taught at the Hôpital Sainte-Anne and had an audience consisting mostly of psychoanalysts. For reasons I will explain shortly, Lacan, in 1964, moved his seminar first to the École Normale Supérieure (1964–1969) and then to the Faculty of Law across from the Panthéon (1969–1980). From 1964 onwards, Lacan's audience startlingly increased in both sheer numbers and breadth of backgrounds, with artists and academics from various disciplines across academia joining the more clinically-minded attendees. "
0,0,0,0,17,0,4,0,0,0,0,0,0,0,3,2,0,5,2,0,0,1,1,0,0,0,0,1,0,0,0,6,0,0,0,0,9,0,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,2,0,0,6,3,15,0,0,25,11,0,1,0,0,37,0,0,8,0,2,2,0,6,0,0,0,0,0,0,0,5,2,3,1,0,0,0,0,0,0,1,0,125,5.928,31.25,"Le Séminaire became a nodal Parisian intellectual institution, a kind of hub attracting some of the brightest stars of the post-War French cultural firmament. For instance, such philosophers as Jean Hyppolite, Michel Foucault, Gilles Deleuze, Luce Irigaray, and Julia Kristeva spent time in Lacan's audience. In his seminars, Lacan deftly maneuvered within and between a multitude of theoretical currents, putting psychoanalysis into conversation with the history of philosophy, phenomenology, existentialism, structuralism, post-structuralism, feminism, and, as already indicated, just about every discipline represented in the university. All of the major French philosophers of the generation that came of age in the 1960s and 1970s engaged with Freudian analysis in one way or another, and all of them did so in fashions varyingly informed by Lacan's teachings."
0,0,0,0,5,0,2,0,0,0,0,0,0,0,2,0,1,4,0,0,0,1,1,0,0,0,0,3,0,0,0,5,0,0,0,0,11,2,0,0,0,0,0,17,0,0,0,0,3,0,0,1,0,0,0,0,4,6,20,0,0,20,11,0,0,0,0,24,1,0,7,0,1,3,0,7,0,0,0,0,3,0,0,4,2,2,0,1,1,0,0,0,0,0,0,115,5.321739130434783,57.5,"The 1960s were a highly productive and equally tumultuous era in Lacan's history. In his seventh seminar on The Ethics of Psychoanalysis (1959–1960), Lacan took a sort of turn fateful for the direction of his later trajectory, initiating an interrogation of the ways in which language was privileged by his 1950s “return to Freud.” The immediately prior years tirelessly emphasized the essential role of the register of the Symbolic, namely, the pride of place of analytically modified versions of Saussurian signifiers in the structures and dynamics of the unconscious and speaking subjectivity (in the 1930s and 1940s, the phenomenal-visual register of the Imaginary was to the fore thanks to the focus on the mirror stage). "
0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,4,2,12,0,0,12,10,1,0,0,2,23,1,0,5,0,2,0,0,2,1,0,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,84,5.619047619047619,28.0,"At the end of the 1950s, with the rise of the Real as the register of a new focus of Lacan's thinking—I will say more about Lacan's tripartite register theory subsequently—things and phenomena escaping, resisting, or thwarting the signifying powers of the socio-linguistic symbolic order became ever more central in Lacanian theory. These things and phenomena include Otherness, drives, jouissance, and objet petit a, among other Lacanian concepts . This 1959–1960 seminar defensibly can be depicted as a prescient post-structuralist text avant la lettre."
0,0,0,0,15,0,5,0,1,0,0,0,0,0,4,0,2,3,3,1,0,1,4,5,2,0,2,4,0,0,1,3,2,0,0,0,8,1,0,0,0,0,0,18,0,0,0,1,2,0,0,0,0,1,0,0,3,10,26,0,0,30,17,0,0,0,1,49,0,0,9,0,3,14,0,4,0,0,1,0,2,0,2,9,7,5,1,0,0,1,0,0,0,0,0,188,5.51063829787234,31.333333333333332,"An earthquake in Lacan's professional and personal histories hit him in 1963. For ten years (1953–1963), the SFP, following its creation after the defections from the SPP, was being scrutinized at length by the IPA as a training institute applying for IPA membership. To cut a long story short, the IPA ended up offering the SFP an ultimatum: It could be admitted only if Lacan was struck from its list of training analysts. Lacan's non-standard “variable-length sessions,” deviating from the fixed-length session rules of IPA orthodoxy, was the main reason for the IPA's withholding of its recognition from him. The SFP accepted this condition, stripping Lacan of his standing within it. In the aftermath of what he understandably experienced as a deeply wounding betrayal, he abandoned his original plans for a 1963–1964 seminar on The Names-of-the-Father (only its opening session of November 20, 1963 was given), relocated his teaching from the Hôpital Sainte-Anne to the École Normale Supérieure, and conducted his deservedly renowned eleventh seminar of 1964, The Four Fundamental Concepts of Psychoanalysis (with Lacan identifying these four concepts as the unconscious, repetition, the transference, and the drive). "
0,0,0,0,6,0,5,0,0,0,0,0,0,0,4,0,0,6,0,0,0,2,1,4,0,0,2,5,1,0,0,4,1,2,0,1,4,0,0,0,0,0,0,10,0,0,0,4,7,0,0,1,0,4,0,0,6,2,18,0,0,24,20,0,0,0,0,37,0,0,4,0,2,9,0,5,2,0,0,0,7,0,6,2,4,3,0,0,1,0,0,0,0,0,0,148,5.378378378378378,29.6,"This seminar's opening session involved Lacan discussing his SFP-brokered “excommunication” from the IPA, with him comparing himself to Baruch Spinoza and the latter's expulsion from the Jewish community for being a heretic. However traumatic this blow, it seemed to prompt Lacan to come even more into his own, to forge a distinctly Lacanian battery of ideas and terms—and this by contrast with the more familiar Freudian language and apparatus of the first decade of le Séminaire (1953–1963). Although not without many precedents in his prior work, a Lacanianism distinct from Freudianism began to emerge clearly into view in the mid-1960s. In the shadow of his rejection by the IPA and departure from the SFP, Lacan founded his own analytic organization, the École freudienne de Paris. This new institutional framework (and freedom) provided him with a setting in which to experiment with novel approaches to analytic teaching and training."
0,0,0,0,7,0,6,0,0,0,0,0,0,0,5,0,0,4,2,0,0,1,2,1,0,0,0,3,0,0,1,4,0,1,1,1,5,0,0,0,0,0,0,5,0,0,0,3,4,0,0,0,0,1,0,0,4,5,15,0,0,23,22,0,1,0,1,33,0,0,9,0,5,5,0,6,1,0,1,0,4,0,3,3,4,4,4,1,0,0,0,0,0,0,0,148,5.675675675675675,21.142857142857142,"In 1966, Lacan's hulking tome Écrits was published by Éditions du Seuil. Prior to this, Lacan had published only a single book, his thesis in psychiatry (1932). The nine-hundred-page Écrits gathered together many of Lacan's most important articles and essays into a single volume, covering a thirty-year stretch from 1936 to 1966. These “writings” provide very daunting and demanding paths of entry into Lacanian thinking (the annual seminars are comparatively more reader-friendly and transparent). Although the Écrits bear no small portion of responsibility for Lacan's reputation as a “difficult” (if not deliberately obscurantist) thinker, this book became a bestseller upon its initial release in France. Its success elevated Lacan into his fame as the French Freud in the eyes of France's reading public. During this time, Lacan's audience for le Séminaire continued to swell, with his influence growing to cover ever-wider circles of Paris-centered intellectual and cultural life."
0,0,0,0,17,0,4,0,0,0,0,0,0,0,2,0,0,11,2,1,1,1,0,0,0,0,0,1,0,0,0,3,0,2,0,1,7,0,0,0,0,0,0,11,0,0,0,1,3,0,0,0,0,2,0,0,12,7,15,0,0,21,16,2,0,0,0,22,1,0,11,0,1,1,0,11,0,0,0,0,3,0,2,3,3,3,0,1,0,0,0,0,0,0,0,133,5.902255639097745,33.25,"Throughout his career, Lacan exhibited a serious interest in various branches of mathematical and formal disciplines. This goes as far back as the 1940s, with the recourse to game theory in “Logical Time and the Assertion of Anticipated Certainty.” The turn to structuralism at the end of the 1940s and beginning of the1950s reinforced these formalistic tendencies, with Lacan, in the 1950s, already drawing upon not only game theory, Lévi-Straussian anthropology, and Jakobsonian phonology, but also the history of mathematics and topology. Throughout the 1950s and 1960s, more and more diagrams, graphs, and symbolizations appeared peppered throughout Lacan's lectures and writings, testifying to a steadily intensifying trend toward formalization. By the late 1960s and, especially, the 1970s, discussions of logic, topology, and knot theory were prominent (sometimes even dominant) features of Lacanian discourse. "
0,0,0,0,13,0,4,0,0,0,0,0,0,0,6,0,1,5,4,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,10,1,0,0,0,0,1,9,0,0,0,1,5,0,0,0,0,2,0,0,5,1,18,0,0,23,23,0,0,0,2,31,0,0,16,0,2,1,0,3,0,1,0,0,5,0,4,1,8,6,0,1,1,0,0,0,0,0,0,148,6.358108108108108,37.0,"In relation to Lacan, the 1970s could be characterized as the decade of the “matheme,” Lacan's neologism for a unit of formalization (qua a mathematical-style symbolization) distilling and fixing the core significance of a specific Lacanian analytic concept-term. Lacan hoped thereby to avoid being misinterpreted in the ways that Freud's deceptively accessible employments of natural language allegedly allowed most non-Lacanian post-Freudians to perpetrate. Additionally, topology, as a science of surfaces, provided Lacan with resources for his regular assaults on the crude, popular images of psychoanalysis as a “depth psychology,” with these images relying upon the simplistic two- and three-dimensional Euclidean spaces of spontaneous picture thinking. Topological figures and constructions undermining the intuitions of this picture thinking assisted Lacan in recasting the unconscious as an ensemble of contortions, curvings, folding, inflections, twists, and turns immanent and internal to a single plane of minded subjectivity accessible to rigorous, rational (psycho)analysis."
0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,10,1,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,4,0,0,5,2,19,0,0,23,20,0,0,0,0,24,0,0,11,0,1,1,0,7,0,0,1,0,3,0,2,1,1,5,0,1,0,1,0,0,0,0,0,124,5.653225806451613,41.333333333333336,"In addition to the pursuit of formalization via mathemes, the seminars of the final decade of Lacan's teachings also were preoccupied with reflections on his register theory, especially the register of the Real, and sexual difference (reflections often intertwined with each other). The program of formalization ostensibly enabled Lacan to reveal with exactitude the precise limits of the sayable and the representable, thereby touching upon the Real through showing what is not pinned down fully and adequately within the coordinates of the accessible, familiar “reality” co-constituted through the other two registers of the Imaginary and the Symbolic (see  below). Various aspects and facets of things sexual came to be associated by the later Lacan with the enigmatic evasiveness of the Real, including sexual difference. "
